ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
1,5.2,EB Vehicles,EB,0.0,-
2,5.5,WB Vehicles,WB,0.0,-
3,6.9,EB Vehicles,EB,1.7,-
4,9.5,EB Vehicles,EB,2.6,-
5,13.1,EB Vehicles,EB,3.6,-
6,15.0,EB Vehicles,EB,1.9,-
7,23.2,EB Vehicles,EB,8.2,-
8,28.3,EB Vehicles,EB,5.1,-
9,32.4,EB Vehicles,EB,4.1,-
10,34.6,WB Vehicles,WB,29.1,-
11,35.1,EB Vehicles,EB,2.7,-
12,36.5,WB Vehicles,WB,1.9,-
13,39.6,WB Vehicles,WB,3.1,-
14,39.7,EB Vehicles,EB,4.6,-
15,41.7,WB Vehicles,WB,2.1,-
16,43.5,EB Vehicles,EB,3.8,-
17,46.2,WB Vehicles,WB,4.5,-
18,46.5,EB Vehicles,EB,3.0,-
19,50.9,WB Vehicles,WB,4.7,-
20,51.0,EB Vehicles,EB,4.5,-
21,53.3,WB Vehicles,WB,2.4,-
22,58.4,WB Vehicles,WB,5.1,-
23,62.3,WB Vehicles,WB,3.9,-
24,64.7,WB Vehicles,WB,2.4,-
25,67.9,Crossers,Crosser,0.0,9.8
26,68.5,WB Vehicles,WB,3.8,-
27,68.6,EB Vehicles,EB,17.6,-
28,77.3,WB Vehicles,WB,8.8,-
29,78.1,EB Vehicles,EB,9.5,-
30,82.0,WB Vehicles,WB,4.7,-
31,85.0,WB Vehicles,WB,3.0,-
32,88.4,WB Vehicles,WB,3.4,-
33,91.6,WB Vehicles,WB,3.2,-
34,94.4,WB Vehicles,WB,2.8,-
35,96.7,EB Vehicles,EB,18.6,-
36,97.3,Crossers,Crosser,29.4,46.5
37,98.3,WB Vehicles,WB,3.9,-
38,103.0,EB Vehicles,EB,6.3,-
39,112.3,EB Vehicles,EB,9.3,-
40,118.4,WB Vehicles,WB,20.1,-
41,136.7,WB Vehicles,WB,18.3,-
42,148.0,WB Vehicles,WB,11.3,-
43,150.4,Posers,Poser,0.0,32.1
44,156.7,WB Vehicles,WB,8.7,-
45,166.0,WB Vehicles,WB,9.3,-
46,182.2,EB Vehicles,EB,69.9,-
47,185.4,EB Vehicles,EB,3.2,-
48,188.2,WB Vehicles,WB,22.2,-
49,188.4,EB Vehicles,EB,3.0,-
50,191.8,EB Vehicles,EB,3.4,-
51,194.0,EB Vehicles,EB,2.2,-
52,197.8,WB Vehicles,WB,9.6,-
53,201.0,Crossers,Crosser,103.7,9.3
54,214.1,WB Vehicles,WB,16.3,-
55,220.2,WB Vehicles,WB,6.1,-
56,222.3,WB Vehicles,WB,2.1,-
57,224.4,WB Vehicles,WB,2.1,-
58,243.6,WB Vehicles,WB,19.2,-
59,244.5,Crossers,Crosser,43.5,9.3
60,253.1,WB Vehicles,WB,9.5,-
61,255.5,EB Vehicles,EB,61.5,-
62,257.3,EB Vehicles,EB,1.8,-
63,261.8,WB Vehicles,WB,8.7,-
64,289.9,WB Vehicles,WB,28.1,-
65,292.1,WB Vehicles,WB,2.2,-
66,295.6,WB Vehicles,WB,3.5,-
67,296.1,EB Vehicles,EB,38.8,-
68,301.7,WB Vehicles,WB,6.1,-
69,305.1,WB Vehicles,WB,3.4,-
70,307.1,WB Vehicles,WB,2.0,-
71,310.0,WB Vehicles,WB,2.9,-
72,312.8,WB Vehicles,WB,2.8,-
73,325.0,Posers,Poser,174.6,21.4
74,325.9,EB Vehicles,EB,29.8,-
75,328.0,WB Vehicles,WB,15.2,-
76,330.8,WB Vehicles,WB,2.8,-
77,332.7,EB Vehicles,EB,6.8,-
78,335.9,WB Vehicles,WB,5.1,-
79,339.8,WB Vehicles,WB,3.9,-
80,347.4,Crossers,Crosser,102.9,6.4
81,354.6,Crossers,Crosser,7.2,2.5
82,357.3,WB Vehicles,WB,17.5,-
83,362.5,EB Vehicles,EB,29.8,-
