ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
1,67.9,Crossers,Crosser,0.0,9.8
2,97.3,Crossers,Crosser,29.4,46.5
4,201.0,Crossers,Crosser,50.6,9.3
5,244.5,Crossers,Crosser,43.5,9.3
7,347.4,Crossers,Crosser,22.4,6.4
8,354.6,Crossers,Crosser,7.2,2.5
11,438.9,Crossers,Crosser,38.7,8.1
12,452.0,Crossers,Crosser,13.2,8.1
13,468.0,Crossers,Crosser,15.9,8.3
14,517.7,Crossers,Crosser,49.8,9.5
15,533.1,Crossers,Crosser,15.4,3.0
16,541.0,Crossers,Crosser,7.9,5.7
17,547.6,Crossers,Crosser,6.6,4.7
18,562.1,Crossers,Crosser,14.5,5.8
19,595.5,Crossers,Crosser,33.4,12.0
20,612.1,Crossers,Crosser,16.6,11.1
21,624.1,Crossers,Crosser,12.0,7.1
22,772.1,Crossers,Crosser,148.0,9.1
23,902.6,Crossers,Crosser,130.5,10.8
24,984.7,Crossers,Crosser,82.1,8.7
25,1023.0,Crossers,Crosser,38.3,7.3
26,1069.9,Crossers,Crosser,46.9,8.7
27,1085.3,Crossers,Crosser,15.4,6.4
37,1413.4,Crossers,Crosser,10.9,9.1
39,1469.2,Crossers,Crosser,7.5,3.2
44,1527.8,Crossers,Crosser,13.7,6.6
49,1597.9,Crossers,Crosser,8.4,3.8
51,1616.3,Crossers,Crosser,13.6,4.1
52,1626.6,Crossers,Crosser,10.4,6.6
53,1650.7,Crossers,Crosser,24.1,3.7
54,1685.9,Crossers,Crosser,35.2,2.7
60,1816.6,Crossers,Crosser,13.9,8.8
62,1867.4,Crossers,Crosser,34.1,5.5
63,1883.2,Crossers,Crosser,15.8,13.0
68,2011.6,Crossers,Crosser,25.4,8.9
71,2063.4,Crossers,Crosser,24.7,6.9
74,2103.1,Crossers,Crosser,8.7,7.7
75,2133.3,Crossers,Crosser,30.2,8.0
76,2165.3,Crossers,Crosser,32.0,9.2
77,2193.3,Crossers,Crosser,28.0,8.4
78,2246.9,Crossers,Crosser,53.6,1.9
79,2254.2,Crossers,Crosser,7.3,1.7
81,2308.9,Crossers,Crosser,8.2,6.0
82,2315.7,Crossers,Crosser,6.8,5.1
84,2348.6,Crossers,Crosser,26.9,4.3
87,2431.0,Crossers,Crosser,20.4,4.6
88,2477.8,Crossers,Crosser,46.8,7.1
89,2498.5,Crossers,Crosser,20.8,5.4
90,2513.7,Crossers,Crosser,15.2,4.1
92,2548.0,Crossers,Crosser,25.9,7.8
93,2558.7,Crossers,Crosser,10.7,10.7
94,2595.1,Crossers,Crosser,36.4,12.3
95,2609.3,Crossers,Crosser,14.2,10.6
96,2632.4,Crossers,Crosser,23.1,6.4
97,2640.5,Crossers,Crosser,8.1,10.2
99,2695.6,Crossers,Crosser,38.6,20.9
100,2717.5,Crossers,Crosser,21.9,3.0
101,2729.9,Crossers,Crosser,12.3,6.9
102,2739.1,Crossers,Crosser,9.3,6.1
103,2751.8,Crossers,Crosser,12.7,7.6
105,2789.5,Crossers,Crosser,27.7,7.4
107,2813.8,Crossers,Crosser,15.9,6.0
113,2892.3,Crossers,Crosser,17.0,7.2
115,2908.5,Crossers,Crosser,8.0,7.4
118,2954.6,Crossers,Crosser,8.7,4.1
120,2995.5,Crossers,Crosser,9.5,11.3
122,3025.2,Crossers,Crosser,15.4,10.9
128,3134.8,Crossers,Crosser,15.3,6.4
132,3184.2,Crossers,Crosser,10.6,6.0
138,3272.4,Crossers,Crosser,8.6,8.0
142,3327.0,Crossers,Crosser,9.2,2.2
143,3332.2,Crossers,Crosser,5.2,2.9
146,3383.5,Crossers,Crosser,17.9,8.1
148,3445.8,Crossers,Crosser,27.3,3.2
149,3460.4,Crossers,Crosser,14.6,10.6
153,3520.1,Crossers,Crosser,10.6,8.7
154,3530.4,Crossers,Crosser,10.4,2.8
155,3538.1,Crossers,Crosser,7.6,5.4
156,3563.7,Crossers,Crosser,25.7,3.0
159,3610.6,Crossers,Crosser,18.4,4.0
160,3621.1,Crossers,Crosser,10.5,7.6
161,3642.0,Crossers,Crosser,20.8,8.1
166,3738.4,Crossers,Crosser,13.8,2.1
169,3823.5,Crossers,Crosser,26.0,6.3
173,3881.8,Crossers,Crosser,19.1,5.6
175,3893.5,Crossers,Crosser,4.9,9.8
186,4127.0,Crossers,Crosser,13.6,2.5
188,4192.8,Crossers,Crosser,16.5,6.7
197,4356.5,Crossers,Crosser,15.3,4.2
205,4473.0,Crossers,Crosser,8.4,4.4
207,4510.0,Crossers,Crosser,24.3,5.7
209,4552.0,Crossers,Crosser,23.8,1.4
221,4782.9,Crossers,Crosser,7.0,4.3
224,4822.9,Crossers,Crosser,10.4,7.1
227,4859.1,Crossers,Crosser,9.7,8.3
228,4870.4,Crossers,Crosser,11.3,17.5
229,4896.8,Crossers,Crosser,26.4,4.0
231,4933.8,Crossers,Crosser,32.2,7.7
232,4942.8,Crossers,Crosser,8.9,9.3
241,5166.1,Crossers,Crosser,16.6,5.1
245,5232.2,Crossers,Crosser,12.7,2.7
251,5344.6,Crossers,Crosser,21.2,5.7
