ID,"Time (s)",Entity,"Service Time (s)","Inter-Arrival (s)"
1,67.9,Crossers,9.8,0.0
2,97.3,Crossers,46.5,29.4
4,201.0,Crossers,9.3,50.6
5,244.5,Crossers,9.3,43.5
7,347.4,Crossers,6.4,22.4
8,354.6,Crossers,2.5,7.2
11,438.9,Crossers,8.1,38.7
12,452.0,Crossers,8.1,13.2
13,468.0,Crossers,8.3,15.9
14,517.7,Crossers,9.5,49.8
15,533.1,Crossers,3.0,15.4
16,541.0,Crossers,5.7,7.9
17,547.6,Crossers,4.7,6.6
18,562.1,Crossers,5.8,14.5
19,595.5,Crossers,12.0,33.4
20,612.1,Crossers,11.1,16.6
21,624.1,Crossers,7.1,12.0
22,772.1,Crossers,9.1,148.0
23,902.6,Crossers,10.8,130.5
24,984.7,Crossers,8.7,82.1
25,1023.0,Crossers,7.3,38.3
26,1069.9,Crossers,8.7,46.9
27,1085.3,Crossers,6.4,15.4
37,1413.4,Crossers,9.1,10.9
39,1469.2,Crossers,3.2,7.5
44,1527.8,Crossers,6.6,13.7
49,1597.9,Crossers,3.8,8.4
51,1616.3,Crossers,4.1,13.6
52,1626.6,Crossers,6.6,10.4
53,1650.7,Crossers,3.7,24.1
54,1685.9,Crossers,2.7,35.2
60,1816.6,Crossers,8.8,13.9
62,1867.4,Crossers,5.5,34.1
63,1883.2,Crossers,13.0,15.8
68,2011.6,Crossers,8.9,25.4
71,2063.4,Crossers,6.9,24.7
74,2103.1,Crossers,7.7,8.7
75,2133.3,Crossers,8.0,30.2
76,2165.3,Crossers,9.2,32.0
77,2193.3,Crossers,8.4,28.0
78,2246.9,Crossers,1.9,53.6
79,2254.2,Crossers,1.7,7.3
81,2308.9,Crossers,6.0,8.2
82,2315.7,Crossers,5.1,6.8
84,2348.6,Crossers,4.3,26.9
87,2431.0,Crossers,4.6,20.4
88,2477.8,Crossers,7.1,46.8
89,2498.5,Crossers,5.4,20.8
90,2513.7,Crossers,4.1,15.2
92,2548.0,Crossers,7.8,25.9
93,2558.7,Crossers,10.7,10.7
94,2595.1,Crossers,12.3,36.4
95,2609.3,Crossers,10.6,14.2
96,2632.4,Crossers,6.4,23.1
97,2640.5,Crossers,10.2,8.1
99,2695.6,Crossers,20.9,38.6
100,2717.5,Crossers,3.0,21.9
101,2729.9,Crossers,6.9,12.3
102,2739.1,Crossers,6.1,9.3
103,2751.8,Crossers,7.6,12.7
105,2789.5,Crossers,7.4,27.7
107,2813.8,Crossers,6.0,15.9
113,2892.3,Crossers,7.2,17.0
115,2908.5,Crossers,7.4,8.0
118,2954.6,Crossers,4.1,8.7
120,2995.5,Crossers,11.3,9.5
122,3025.2,Crossers,10.9,15.4
128,3134.8,Crossers,6.4,15.3
132,3184.2,Crossers,6.0,10.6
138,3272.4,Crossers,8.0,8.6
142,3327.0,Crossers,2.2,9.2
143,3332.2,Crossers,2.9,5.2
146,3383.5,Crossers,8.1,17.9
148,3445.8,Crossers,3.2,27.3
149,3460.4,Crossers,10.6,14.6
153,3520.1,Crossers,8.7,10.6
154,3530.4,Crossers,2.8,10.4
155,3538.1,Crossers,5.4,7.6
156,3563.7,Crossers,3.0,25.7
159,3610.6,Crossers,4.0,18.4
160,3621.1,Crossers,7.6,10.5
161,3642.0,Crossers,8.1,20.8
166,3738.4,Crossers,2.1,13.8
169,3823.5,Crossers,6.3,26.0
173,3881.8,Crossers,5.6,19.1
175,3893.5,Crossers,9.8,4.9
186,4127.0,Crossers,2.5,13.6
188,4192.8,Crossers,6.7,16.5
197,4356.5,Crossers,4.2,15.3
205,4473.0,Crossers,4.4,8.4
207,4510.0,Crossers,5.7,24.3
209,4552.0,Crossers,1.4,23.8
221,4782.9,Crossers,4.3,7.0
224,4822.9,Crossers,7.1,10.4
227,4859.1,Crossers,8.3,9.7
228,4870.4,Crossers,17.5,11.3
229,4896.8,Crossers,4.0,26.4
231,4933.8,Crossers,7.7,32.2
232,4942.8,Crossers,9.3,8.9
241,5166.1,Crossers,5.1,16.6
245,5232.2,Crossers,2.7,12.7
251,5344.6,Crossers,5.7,21.2
