ID,"Time (s)",Entity,"Service Time (s)","Inter-Arrival (s)"
3,150.4,Posers,32.1,53.1
6,325.0,Posers,21.4,9.0
9,363.3,Posers,20.9,8.7
10,400.1,Posers,21.2,36.8
28,1189.2,Posers,5.8,60.1
29,1207.0,Posers,16.2,17.8
30,1274.8,Posers,10.1,67.7
31,1292.6,Posers,4.9,17.8
32,1326.0,Posers,14.1,33.4
33,1352.5,Posers,7.9,26.6
34,1363.6,Posers,10.9,11.1
35,1392.7,Posers,8.6,29.1
36,1402.6,Posers,8.7,9.8
38,1461.7,Posers,6.8,48.3
40,1485.1,Posers,6.8,15.9
41,1494.2,Posers,6.3,9.1
42,1501.1,Posers,3.9,6.9
43,1514.1,Posers,11.0,13.0
45,1535.6,Posers,3.6,7.8
46,1551.5,Posers,8.8,15.8
47,1562.3,Posers,15.1,10.8
48,1589.4,Posers,7.5,27.1
50,1602.7,Posers,12.9,4.8
55,1690.7,Posers,3.6,4.8
56,1731.8,Posers,9.2,41.1
57,1747.1,Posers,15.5,15.3
58,1779.2,Posers,14.0,32.1
59,1802.8,Posers,6.9,23.6
61,1833.3,Posers,20.7,16.7
64,1907.7,Posers,31.0,24.5
65,1950.3,Posers,10.9,42.6
66,1970.0,Posers,6.8,19.8
67,1986.2,Posers,21.2,16.1
69,2029.6,Posers,8.3,18.0
70,2038.8,Posers,5.9,9.2
72,2079.7,Posers,8.6,16.2
73,2094.4,Posers,7.9,14.7
80,2300.7,Posers,7.3,46.5
83,2321.7,Posers,9.9,6.0
85,2392.2,Posers,9.0,43.6
86,2410.6,Posers,6.2,18.4
91,2522.0,Posers,4.8,8.4
98,2657.0,Posers,8.6,16.5
104,2761.8,Posers,10.4,10.0
106,2797.9,Posers,5.2,8.4
108,2834.5,Posers,5.8,20.7
109,2843.4,Posers,7.6,8.8
110,2852.8,Posers,2.1,9.4
111,2857.8,Posers,12.5,5.0
112,2875.3,Posers,10.6,17.5
114,2900.5,Posers,2.9,8.3
116,2926.3,Posers,7.1,17.9
117,2946.0,Posers,7.1,19.6
119,2986.0,Posers,8.1,31.3
121,3009.7,Posers,6.0,14.2
123,3052.0,Posers,11.4,26.9
124,3071.7,Posers,6.3,19.6
125,3084.4,Posers,8.4,12.8
126,3098.9,Posers,6.5,14.5
127,3119.5,Posers,13.3,20.5
129,3144.5,Posers,10.3,9.7
130,3160.2,Posers,8.2,15.7
131,3173.6,Posers,6.5,13.4
133,3191.6,Posers,4.0,7.4
134,3214.2,Posers,4.0,22.6
135,3226.5,Posers,3.3,12.3
136,3253.3,Posers,5.8,26.8
137,3263.9,Posers,6.9,10.6
139,3282.7,Posers,5.5,10.3
140,3301.8,Posers,3.5,19.1
141,3317.8,Posers,7.0,15.9
144,3354.7,Posers,7.3,22.5
145,3365.6,Posers,5.4,10.9
147,3418.5,Posers,12.2,35.0
150,3479.7,Posers,9.0,19.3
151,3502.3,Posers,5.7,22.6
152,3509.4,Posers,6.6,7.2
157,3575.9,Posers,10.4,12.2
158,3592.2,Posers,6.6,16.3
162,3683.3,Posers,6.4,41.3
163,3698.6,Posers,9.4,15.3
164,3715.8,Posers,7.7,17.2
165,3724.6,Posers,10.2,8.8
167,3754.4,Posers,11.7,16.0
168,3797.5,Posers,13.2,43.1
170,3830.8,Posers,14.4,7.3
171,3846.9,Posers,7.5,16.1
172,3862.7,Posers,13.3,15.8
174,3888.5,Posers,3.9,6.7
176,3920.1,Posers,11.0,26.6
177,3956.0,Posers,9.4,35.9
178,3966.6,Posers,4.9,10.6
179,3998.7,Posers,11.6,32.2
180,4018.8,Posers,17.1,20.1
181,4051.3,Posers,8.9,32.5
182,4065.8,Posers,6.4,14.5
183,4080.3,Posers,15.3,14.5
184,4100.3,Posers,8.1,20.0
185,4113.4,Posers,6.8,13.1
187,4176.3,Posers,9.6,49.3
189,4201.0,Posers,22.4,8.2
190,4228.3,Posers,19.7,27.3
191,4253.8,Posers,11.4,25.5
192,4270.3,Posers,14.8,16.5
193,4286.8,Posers,6.3,16.6
194,4302.0,Posers,13.6,15.1
195,4318.1,Posers,7.6,16.1
196,4341.2,Posers,12.4,23.1
198,4372.4,Posers,21.4,15.9
199,4394.7,Posers,15.7,22.3
200,4415.6,Posers,11.2,20.9
201,4428.1,Posers,9.8,12.5
202,4439.5,Posers,8.6,11.4
203,4450.5,Posers,10.5,11.0
204,4464.6,Posers,5.9,14.1
206,4485.7,Posers,20.3,12.7
208,4528.3,Posers,13.3,18.2
210,4559.2,Posers,7.2,7.2
211,4573.0,Posers,5.4,13.8
212,4580.7,Posers,4.0,7.7
213,4608.1,Posers,50.6,27.4
214,4662.9,Posers,7.7,54.8
