ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
3,150.4,Posers,Poser,53.1,32.1
6,325.0,Posers,Poser,9.0,21.4
9,363.3,Posers,Poser,8.7,20.9
10,400.1,Posers,Poser,36.8,21.2
28,1189.2,Posers,Poser,60.1,5.8
29,1207.0,Posers,Poser,17.8,16.2
30,1274.8,Posers,Poser,67.7,10.1
31,1292.6,Posers,Poser,17.8,4.9
32,1326.0,Posers,Poser,33.4,14.1
33,1352.5,Posers,Poser,26.6,7.9
34,1363.6,Posers,Poser,11.1,10.9
35,1392.7,Posers,Poser,29.1,8.6
36,1402.6,Posers,Poser,9.8,8.7
38,1461.7,Posers,Poser,48.3,6.8
40,1485.1,Posers,Poser,15.9,6.8
41,1494.2,Posers,Poser,9.1,6.3
42,1501.1,Posers,Poser,6.9,3.9
43,1514.1,Posers,Poser,13.0,11.0
45,1535.6,Posers,Poser,7.8,3.6
46,1551.5,Posers,Poser,15.8,8.8
47,1562.3,Posers,Poser,10.8,15.1
48,1589.4,Posers,Poser,27.1,7.5
50,1602.7,Posers,Poser,4.8,12.9
55,1690.7,Posers,Poser,4.8,3.6
56,1731.8,Posers,Poser,41.1,9.2
57,1747.1,Posers,Poser,15.3,15.5
58,1779.2,Posers,Poser,32.1,14.0
59,1802.8,Posers,Poser,23.6,6.9
61,1833.3,Posers,Poser,16.7,20.7
64,1907.7,Posers,Poser,24.5,31.0
65,1950.3,Posers,Poser,42.6,10.9
66,1970.0,Posers,Poser,19.8,6.8
67,1986.2,Posers,Poser,16.1,21.2
69,2029.6,Posers,Poser,18.0,8.3
70,2038.8,Posers,Poser,9.2,5.9
72,2079.7,Posers,Poser,16.2,8.6
73,2094.4,Posers,Poser,14.7,7.9
80,2300.7,Posers,Poser,46.5,7.3
83,2321.7,Posers,Poser,6.0,9.9
85,2392.2,Posers,Poser,43.6,9.0
86,2410.6,Posers,Poser,18.4,6.2
91,2522.0,Posers,Poser,8.4,4.8
98,2657.0,Posers,Poser,16.5,8.6
104,2761.8,Posers,Poser,10.0,10.4
106,2797.9,Posers,Poser,8.4,5.2
108,2834.5,Posers,Poser,20.7,5.8
109,2843.4,Posers,Poser,8.8,7.6
110,2852.8,Posers,Poser,9.4,2.1
111,2857.8,Posers,Poser,5.0,12.5
112,2875.3,Posers,Poser,17.5,10.6
114,2900.5,Posers,Poser,8.3,2.9
