ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
1,5.2,EB Vehicles,EB,0,-
2,6.9,EB Vehicles,EB,1.7,-
3,9.5,EB Vehicles,EB,2.6,-
4,13.1,EB Vehicles,EB,3.7,-
5,15,EB Vehicles,EB,1.8,-
6,23.2,EB Vehicles,EB,8.3,-
7,28.3,EB Vehicles,EB,5.1,-
8,32.4,EB Vehicles,EB,4.1,-
9,35.1,EB Vehicles,EB,2.6,-
10,39.7,EB Vehicles,EB,4.6,-
11,43.5,EB Vehicles,EB,3.9,-
12,46.5,EB Vehicles,EB,2.9,-
13,51,EB Vehicles,EB,4.5,-
14,68.6,EB Vehicles,EB,17.6,-
15,78.1,EB Vehicles,EB,9.6,-
16,96.7,EB Vehicles,EB,18.6,-
17,103,EB Vehicles,EB,6.4,-
18,112.3,EB Vehicles,EB,9.2,-
19,182.2,EB Vehicles,EB,69.9,-
20,185.4,EB Vehicles,EB,3.2,-
21,188.4,EB Vehicles,EB,2.9,-
22,191.8,EB Vehicles,EB,3.4,-
23,194,EB Vehicles,EB,2.2,-
24,255.5,EB Vehicles,EB,61.5,-
25,257.3,EB Vehicles,EB,1.7,-
26,296.1,EB Vehicles,EB,38.9,-
27,325.9,EB Vehicles,EB,15.6,-
28,332.7,EB Vehicles,EB,6.8,-
29,362.5,EB Vehicles,EB,29.8,-
30,364.3,EB Vehicles,EB,1.9,-
31,372.9,EB Vehicles,EB,8.6,-
32,387.5,EB Vehicles,EB,14.6,-
33,390.6,EB Vehicles,EB,3.1,-
34,408.2,EB Vehicles,EB,17.6,-
35,415.4,EB Vehicles,EB,7.2,-
36,423.7,EB Vehicles,EB,8.3,-
37,425.4,EB Vehicles,EB,1.7,-
38,427.9,EB Vehicles,EB,2.5,-
39,527.5,EB Vehicles,EB,99.7,-
40,531.7,EB Vehicles,EB,4.1,-
41,541.6,EB Vehicles,EB,10,-
42,554.8,EB Vehicles,EB,13.2,-
43,558.2,EB Vehicles,EB,3.4,-
44,568,EB Vehicles,EB,9.8,-
45,651,EB Vehicles,EB,83.1,-
46,659.7,EB Vehicles,EB,8.6,-
47,680.8,EB Vehicles,EB,21.1,-
48,694.7,EB Vehicles,EB,13.9,-
49,699.1,EB Vehicles,EB,4.4,-
50,700.8,EB Vehicles,EB,1.7,-
51,728.7,EB Vehicles,EB,27.9,-
52,741.9,EB Vehicles,EB,13.2,-
53,744.6,EB Vehicles,EB,2.6,-
54,747.4,EB Vehicles,EB,2.9,-
55,756.3,EB Vehicles,EB,8.9,-
56,857.3,EB Vehicles,EB,101,-
57,865.4,EB Vehicles,EB,8.1,-
58,868.4,EB Vehicles,EB,3,-
59,876.4,EB Vehicles,EB,8,-
60,878.3,EB Vehicles,EB,1.9,-
61,881.8,EB Vehicles,EB,3.5,-
62,910.5,EB Vehicles,EB,28.7,-
63,914.7,EB Vehicles,EB,4.2,-
64,920.7,EB Vehicles,EB,6,-
65,923.9,EB Vehicles,EB,3.2,-
66,940.1,EB Vehicles,EB,16.3,-
67,946.4,EB Vehicles,EB,6.3,-
68,979.5,EB Vehicles,EB,33.1,-
69,1053,EB Vehicles,EB,73.5,-
70,1066.1,EB Vehicles,EB,13.1,-
71,1089.7,EB Vehicles,EB,23.6,-
72,1092.6,EB Vehicles,EB,2.9,-
73,1095.2,EB Vehicles,EB,2.6,-
74,1097,EB Vehicles,EB,1.7,-
75,1102.4,EB Vehicles,EB,5.4,-
76,1105.5,EB Vehicles,EB,3.1,-
77,1135.3,EB Vehicles,EB,29.8,-
78,1150.8,EB Vehicles,EB,15.5,-
79,1183.8,EB Vehicles,EB,33.1,-
80,1189,EB Vehicles,EB,5.1,-
81,1235,EB Vehicles,EB,46,-
82,1284.7,EB Vehicles,EB,49.7,-
