ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
1,5.5,WB Vehicles,WB,0.0,-
2,34.6,WB Vehicles,WB,29.0,-
3,36.5,WB Vehicles,WB,1.9,-
4,39.6,WB Vehicles,WB,3.1,-
5,41.7,WB Vehicles,WB,2.1,-
6,46.2,WB Vehicles,WB,4.5,-
7,50.9,WB Vehicles,WB,4.7,-
8,53.3,WB Vehicles,WB,2.4,-
9,58.4,WB Vehicles,WB,5.0,-
10,62.3,WB Vehicles,WB,4.0,-
11,64.7,WB Vehicles,WB,2.4,-
12,68.5,WB Vehicles,WB,3.8,-
13,77.3,WB Vehicles,WB,8.8,-
14,82.0,WB Vehicles,WB,4.7,-
15,85.0,WB Vehicles,WB,3.0,-
16,88.4,WB Vehicles,WB,3.5,-
17,91.6,WB Vehicles,WB,3.1,-
18,94.4,WB Vehicles,WB,2.8,-
19,98.3,WB Vehicles,WB,3.9,-
20,118.4,WB Vehicles,WB,14.4,-
21,136.7,WB Vehicles,WB,18.3,-
22,148.0,WB Vehicles,WB,11.4,-
23,156.7,WB Vehicles,WB,8.7,-
24,166.0,WB Vehicles,WB,9.3,-
25,188.2,WB Vehicles,WB,22.3,-
26,197.8,WB Vehicles,WB,9.5,-
27,214.1,WB Vehicles,WB,16.4,-
28,220.2,WB Vehicles,WB,6.1,-
29,222.3,WB Vehicles,WB,2.0,-
30,224.4,WB Vehicles,WB,2.2,-
31,243.6,WB Vehicles,WB,19.2,-
32,253.1,WB Vehicles,WB,9.5,-
33,261.8,WB Vehicles,WB,8.7,-
34,289.9,WB Vehicles,WB,28.1,-
35,292.1,WB Vehicles,WB,2.2,-
36,295.6,WB Vehicles,WB,3.5,-
37,301.7,WB Vehicles,WB,6.1,-
38,305.1,WB Vehicles,WB,3.4,-
39,307.1,WB Vehicles,WB,2.0,-
40,310.0,WB Vehicles,WB,2.9,-
41,312.8,WB Vehicles,WB,2.7,-
42,328.0,WB Vehicles,WB,15.2,-
43,330.8,WB Vehicles,WB,2.8,-
44,335.9,WB Vehicles,WB,5.2,-
45,339.8,WB Vehicles,WB,3.8,-
46,357.3,WB Vehicles,WB,17.6,-
47,393.7,WB Vehicles,WB,36.4,-
48,395.6,WB Vehicles,WB,1.9,-
49,399.0,WB Vehicles,WB,3.4,-
50,419.6,WB Vehicles,WB,20.6,-
51,423.8,WB Vehicles,WB,4.2,-
52,426.5,WB Vehicles,WB,2.6,-
53,429.3,WB Vehicles,WB,2.8,-
54,462.3,WB Vehicles,WB,33.0,-
55,474.3,WB Vehicles,WB,12.0,-
