EB,WB,C,P,Score,Wait_Time,Cost,Queue
1,1,1,1,0.26142380122291387,0.05359163230437837,847000,0.009823189962380307
1,1,2,1,0.2974782582287749,0.05113620236298861,968000,0.009823189962380307
1,2,1,1,0.33162661305323693,0.03992914196690612,1089000,0.004668494282731529
2,1,1,1,0.3332254266707489,0.04560788678272892,1089000,0.009823189962380307
1,1,1,2,0.33365920651453124,0.04994568522055228,1089000,0.009823189962380307
1,2,2,1,0.36768107005909795,0.037473712025516366,1210000,0.004668494282731529
2,1,2,1,0.36927988367660997,0.04315245684133916,1210000,0.009823189962380307
1,1,2,2,0.36971366352039226,0.04749025527916252,1210000,0.009823189962380307
2,2,1,1,0.40342823850107196,0.031945396445256666,1331000,0.004668494282731529
1,3,1,1,0.40359110495859746,0.03567064650547842,1331000,0.003620201540248157
1,2,1,2,0.4038620183448543,0.03628319488308003,1331000,0.004668494282731529
2,1,1,2,0.4054608319623663,0.04196193969890283,1331000,0.009823189962380307
3,1,1,1,0.4055698659232089,0.04305227930732889,1331000,0.009823189962380307
1,1,1,3,0.40613996126400825,0.048753232715322184,1331000,0.009823189962380307
2,2,2,1,0.439482695506933,0.029489966503866906,1452000,0.004668494282731529
1,3,2,1,0.4396455619644585,0.03321521656408866,1452000,0.003620201540248157
1,2,2,2,0.4399164753507153,0.03382776494169028,1452000,0.004668494282731529
2,1,2,2,0.44151528896822734,0.03950650975751307,1452000,0.009823189962380307
3,1,2,1,0.44162432292906995,0.04059684936593914,1452000,0.009823189962380307
1,1,2,3,0.44219441826986927,0.046297802773932424,1452000,0.009823189962380307
2,3,1,1,0.4752810529815507,0.027686900983828963,1573000,0.003061814415839372
2,2,1,2,0.4756636437926894,0.028299449361430577,1573000,0.004668494282731529
3,2,1,1,0.475772677753532,0.02938978896985664,1573000,0.004668494282731529
1,3,1,2,0.47582651025021483,0.032024699421652335,1573000,0.003620201540248157
1,4,1,1,0.4759833223141211,0.033592820060714686,1573000,0.003620201540248157
1,2,1,3,0.4763427730943313,0.03509074237784993,1573000,0.004668494282731529
3,1,1,2,0.4778052712148263,0.0394063322235028,1573000,0.009823189962380307
2,1,1,3,0.4779415867118433,0.04076948719367273,1573000,0.009823189962380307
4,1,1,1,0.47804397829825335,0.041793403057773015,1573000,0.009823189962380307
2,3,2,1,0.5113355099874118,0.025231471042439203,1694000,0.003061814415839372
2,2,2,2,0.5117181007985503,0.025844019420040817,1694000,0.004668494282731529
3,2,2,1,0.5118271347593929,0.026934359028466887,1694000,0.004668494282731529
1,3,2,2,0.5118809672560759,0.029569269480262575,1694000,0.003620201540248157
1,4,2,1,0.5120377793199821,0.031137390119324933,1694000,0.003620201540248157
1,2,2,3,0.5123972301001922,0.03263531243646018,1694000,0.004668494282731529
3,1,2,2,0.5138597282206874,0.03695090228211305,1694000,0.009823189962380307
2,1,2,3,0.5139960437177044,0.03831405725228297,1694000,0.009823189962380307
4,1,2,1,0.5140984353041144,0.03933797311638326,1694000,0.009823189962380307
2,3,1,2,0.5475164582731682,0.024040953900002875,1815000,0.003061814415839372
2,4,1,1,0.5475164824787363,0.02560907453906523,1815000,0.0022778751241490694
3,3,1,1,0.5476254922340108,0.025131293508428944,1815000,0.003061814415839372
3,2,1,2,0.5480080830451493,0.02574384188603055,1815000,0.004668494282731529
2,2,1,3,0.5481443985421663,0.027106996856200476,1815000,0.004668494282731529
1,4,1,2,0.5482187276057384,0.029946872976888597,1815000,0.003620201540248157
4,2,1,1,0.5482467901285764,0.028130912720300764,1815000,0.004668494282731529
1,3,1,3,0.5483072649996918,0.030832246916422234,1815000,0.003620201540248157
1,5,1,1,0.5484602507518014,0.032362104437517206,1815000,0.003620201540248157
4,1,1,2,0.5502793835898707,0.03814745597394693,1815000,0.009823189962380307
3,1,1,3,0.5502860259643033,0.038213879718272704,1815000,0.009823189962380307
5,1,1,1,0.5505690406687338,0.04104402676257773,1815000,0.009823189962380307
2,3,2,2,0.5835709152790292,0.021585523958613115,1936000,0.003061814415839372
2,4,2,1,0.5835709394845974,0.023153644597675473,1936000,0.0022778751241490694
3,3,2,1,0.5836799492398718,0.022675863567039187,1936000,0.003061814415839372
3,2,2,2,0.5840625400510103,0.023288411944640798,1936000,0.004668494282731529
2,2,2,3,0.5841988555480273,0.024651566914810717,1936000,0.004668494282731529
1,4,2,2,0.5842731846115995,0.027491443035498844,1936000,0.003620201540248157
4,2,2,1,0.5843012471344373,0.02567548277891101,1936000,0.004668494282731529
1,3,2,3,0.5843617220055528,0.028376816975032474,1936000,0.003620201540248157
1,5,2,1,0.5845147077576623,0.029906674496127446,1936000,0.003620201540248157
4,1,2,2,0.5863338405957318,0.035692026032557174,1936000,0.009823189962380307
3,1,2,3,0.5863404829701643,0.03575844977688295,1936000,0.009823189962380307
5,1,2,1,0.5866234976745948,0.038588596821187975,1936000,0.009823189962380307
2,4,1,2,0.6197518877703537,0.02196312745523914,2057000,0.0022778751241490694
3,3,1,2,0.6198608975256281,0.021485346424602855,2057000,0.003061814415839372
3,4,1,1,0.6198609217311963,0.023053467063665206,2057000,0.0022778751241490694
2,5,1,1,0.6199005440327215,0.024378358915867746,2057000,0.0018135407056739355
2,3,1,3,0.6199972130226452,0.022848501394772774,2057000,0.003061814415839372
4,3,1,1,0.6200996046090552,0.023872417258873065,2057000,0.003061814415839372
4,2,1,2,0.6204821954201937,0.024484965636474676,2057000,0.004668494282731529
3,2,1,3,0.6204888377946263,0.02455138938080045,2057000,0.004668494282731529
1,5,1,2,0.6206956560434187,0.028716157353691117,2057000,0.003620201540248157
1,4,1,3,0.6206994823552154,0.028754420471658496,2057000,0.003620201540248157
5,2,1,1,0.6207718524990568,0.027381536425105477,2057000,0.004668494282731529
4,1,1,3,0.6227601383393477,0.03695500346871683,2057000,0.009823189962380307
5,1,1,2,0.6228044459603512,0.03739807967875164,2057000,0.009823189962380307
2,4,2,2,0.6558063447762148,0.019507697513849384,2178000,0.0022778751241490694
3,3,2,2,0.6559153545314892,0.019029916483213095,2178000,0.003061814415839372
3,4,2,1,0.6559153787370574,0.020598037122275453,2178000,0.0022778751241490694
2,5,2,1,0.6559550010385826,0.021922928974477993,2178000,0.0018135407056739355
2,3,2,3,0.6560516700285062,0.020393071453383014,2178000,0.003061814415839372
4,3,2,1,0.6561540616149162,0.02141698731748331,2178000,0.003061814415839372
4,2,2,2,0.6565366524260547,0.022029535695084923,2178000,0.004668494282731529
3,2,2,3,0.6565432948004873,0.022095959439410697,2178000,0.004668494282731529
1,5,2,2,0.6567501130492798,0.026260727412301357,2178000,0.003620201540248157
1,4,2,3,0.6567539393610765,0.026298990530268743,2178000,0.003620201540248157
5,2,2,1,0.6568263095049178,0.024926106483715724,2178000,0.004668494282731529
4,1,2,3,0.6588145953452087,0.034499573527327076,2178000,0.009823189962380307
5,1,2,2,0.6588589029662122,0.034942649737361886,2178000,0.009823189962380307
3,4,1,2,0.6920963270228138,0.019407519979839118,2299000,0.0022778751241490694
2,5,1,2,0.692135949324339,0.020732411832041657,2299000,0.0018135407056739355
2,4,1,3,0.6922326425198307,0.02077067495000904,2299000,0.0022778751241490694
3,5,1,1,0.6922449832851816,0.021822751440467726,2299000,0.0018135407056739355
4,3,1,2,0.6923350099006725,0.020226470175046977,2299000,0.003061814415839372
4,4,1,1,0.6923350341062408,0.02179459081410933,2299000,0.0022778751241490694
3,3,1,3,0.6923416522751051,0.020292893919372754,2299000,0.003061814415839372
5,3,1,1,0.6926246669795356,0.02312304096367778,2299000,0.003061814415839372
4,2,1,3,0.6929629501696707,0.023292513131244575,2299000,0.004668494282731529
5,2,1,2,0.6930072577906742,0.023735589341279388,2299000,0.004668494282731529
1,5,1,3,0.6931764107928957,0.027523704848461016,2299000,0.003620201540248157
5,1,1,3,0.6952852007098281,0.03620562717352154,2299000,0.009823189962380307
3,4,2,2,0.7281507840286747,0.01695209003844936,2420000,0.0022778751241490694
2,5,2,2,0.7281904063301999,0.0182769818906519,2420000,0.0018135407056739355
2,4,2,3,0.7282870995256917,0.018315245008619283,2420000,0.0022778751241490694
3,5,2,1,0.7282994402910425,0.01936732149907797,2420000,0.0018135407056739355
4,3,2,2,0.7283894669065336,0.01777104023365722,2420000,0.003061814415839372
4,4,2,1,0.7283894911121018,0.019339160872719575,2420000,0.0022778751241490694
3,3,2,3,0.7283961092809662,0.017837463977982998,2420000,0.003061814415839372
5,3,2,1,0.7286791239853967,0.020667611022288025,2420000,0.003061814415839372
4,2,2,3,0.7290174071755318,0.020837083189854822,2420000,0.004668494282731529
5,2,2,2,0.7290617147965353,0.021280159399889635,2420000,0.004668494282731529
1,5,2,3,0.7292308677987567,0.025068274907071256,2420000,0.003620201540248157
5,1,2,3,0.7313396577156892,0.03375019723213179,2420000,0.009823189962380307
3,5,1,2,0.764480388576799,0.018176804356641638,2541000,0.0018135407056739355
4,4,1,2,0.7645704393978582,0.018148643730283243,2541000,0.0022778751241490694
3,4,1,3,0.7645770817722908,0.018215067474609017,2541000,0.0022778751241490694
2,5,1,3,0.764616704073816,0.019539959326811556,2541000,0.0018135407056739355
4,5,1,1,0.764719095660226,0.02056387519091185,2541000,0.0018135407056739355
4,3,1,3,0.7648157646501496,0.019034017669816876,2541000,0.003061814415839372
5,3,1,2,0.764860072271153,0.019477093879851692,2541000,0.003061814415839372
5,4,1,1,0.7648600964767213,0.021045214518914047,2541000,0.0022778751241490694
5,2,1,3,0.7654880125401512,0.022543136836049287,2541000,0.004668494282731529
3,5,2,2,0.80053484558266,0.01572137441525188,2662000,0.0018135407056739355
4,4,2,2,0.8006248964037191,0.015693213788893486,2662000,0.0022778751241490694
3,4,2,3,0.8006315387781517,0.015759637533219264,2662000,0.0022778751241490694
2,5,2,3,0.800671161079677,0.017084529385421803,2662000,0.0018135407056739355
4,5,2,1,0.800773552666087,0.018108445249522095,2662000,0.0018135407056739355
4,3,2,3,0.8008702216560106,0.01657858772842712,2662000,0.003061814415839372
5,3,2,2,0.8009145292770141,0.017021663938461933,2662000,0.003061814415839372
5,4,2,1,0.8009145534825822,0.01858978457752429,2662000,0.0022778751241490694
5,2,2,3,0.8015424695460122,0.020087706894659534,2662000,0.004668494282731529
4,5,1,2,0.8369545009518433,0.01691792810708576,2783000,0.0018135407056739355
3,5,1,3,0.8369611433262759,0.016984351851411537,2783000,0.0018135407056739355
4,4,1,3,0.8370511941473351,0.01695619122505314,2783000,0.0022778751241490694
5,4,1,2,0.8370955017683386,0.017399267435087955,2783000,0.0022778751241490694
5,5,1,1,0.8372441580307064,0.019814498895716563,2783000,0.0018135407056739355
5,3,1,3,0.8373408270206301,0.01828464137462159,2783000,0.003061814415839372
4,5,2,2,0.8730089579577044,0.014462498165696005,2904000,0.0018135407056739355
3,5,2,3,0.873015600332137,0.01452892191002178,2904000,0.0018135407056739355
4,4,2,3,0.8731056511531962,0.014500761283663385,2904000,0.0022778751241490694
5,4,2,2,0.8731499587741997,0.0149438374936982,2904000,0.0022778751241490694
5,5,2,1,0.8732986150365675,0.017359068954326807,2904000,0.0018135407056739355
5,3,2,3,0.873395284026491,0.015829211433231835,2904000,0.003061814415839372
4,5,1,3,0.9094352557013203,0.01572547560185566,3025000,0.0018135407056739355
5,5,1,2,0.9094795633223238,0.016168551811890475,3025000,0.0018135407056739355
5,4,1,3,0.9095762565178156,0.016206814929857857,3025000,0.0022778751241490694
4,5,2,3,0.9454897127071814,0.013270045660465904,3146000,0.0018135407056739355
5,5,2,2,0.9455340203281849,0.013713121870500718,3146000,0.0018135407056739355
5,4,2,3,0.9456307135236767,0.0137513849884681,3146000,0.0022778751241490694
5,5,1,3,0.9819603180718008,0.014976099306660374,3267000,0.0018135407056739355
5,5,2,3,1.0180147750776618,0.012520669365270617,3388000,0.0018135407056739355
